district_id,district_name,latitude,longitude,total_toddlers,poor_sanitation_pct,extreme_poverty_pct,anemia_mothers_pct,under_red_line_ratio,posyandu_density_ratio,dist_to_referral_clinic_km,hist_stunting_q1,hist_stunting_q2,hist_stunting_q3,current_active_stunted
DIST-01,Medan Belawan,3.7781,98.6833,1324,58.39,42.14,53.16,0.2055,229.15,9.47,177,238,242,242
DIST-02,Medan Labuhan,3.7125,98.675,1391,49.95,31.95,35.0,0.1673,162.69,8.11,183,212,196,196
DIST-03,Medan Marelan,3.689,98.65,972,34.2,38.04,30.92,0.1645,179.38,5.08,117,107,109,109
DIST-04,Medan Deli,3.654,98.67,1227,45.6,38.08,38.04,0.1609,196.46,6.08,158,145,196,196
DIST-05,Medan Tembung,3.598,98.715,1405,30.83,27.35,15.28,0.1052,212.92,6.59,123,137,137,137
DIST-06,Medan Denai,3.565,98.71,1242,35.33,18.4,36.42,0.1389,178.33,4.4,140,128,169,169
DIST-07,Medan Amplas,3.535,98.705,1030,43.39,30.94,34.02,0.1123,197.27,5.8,95,89,105,105
DIST-08,Medan Johor,3.525,98.665,1443,33.94,10.36,23.34,0.0964,159.05,3.99,103,111,104,104
DIST-09,Medan Tuntungan,3.51,98.605,1191,40.52,2.28,25.75,0.1026,182.52,4.54,105,78,91,91
DIST-10,Medan Selayang,3.545,98.625,703,14.69,17.96,13.51,0.0622,192.54,5.54,48,48,33,33
DIST-11,Medan Sunggal,3.585,98.615,1224,34.35,12.89,16.71,0.0832,151.41,4.72,59,88,88,88
DIST-12,Medan Helvetia,3.615,98.64,1265,28.34,18.52,25.67,0.1075,200.37,1.67,112,101,137,137
DIST-13,Medan Barat,3.605,98.665,720,29.19,19.26,38.24,0.0992,199.54,4.47,68,50,65,65
DIST-14,Medan Timur,3.61,98.69,907,27.4,26.24,18.39,0.1615,233.13,6.97,79,67,99,99
DIST-15,Medan Perjuangan,3.595,98.695,952,31.87,24.0,22.48,0.0835,203.71,3.53,96,89,115,115
DIST-16,Medan Kota,3.575,98.685,1318,19.99,9.54,14.0,0.0992,209.1,4.77,81,84,73,73
DIST-17,Medan Maimun,3.57,98.675,1264,41.25,15.08,15.76,0.1407,207.42,5.38,120,99,109,109
DIST-18,Medan Polonia,3.555,98.665,1286,21.41,17.68,15.22,0.0335,204.23,5.67,50,79,58,58
DIST-19,Medan Baru,3.57,98.655,1489,10.93,17.03,15.39,0.0872,222.42,3.13,53,55,102,102
DIST-20,Medan Petisah,3.59,98.66,1011,27.33,11.61,22.97,0.0886,247.36,3.88,52,43,67,67
DIST-21,Medan Area,3.575,98.7,932,38.16,20.71,29.5,0.1367,197.18,3.67,95,79,79,79
